Warranty Claim,Transaction Type,Transaction Description,Posting Date,Registration Number,Registration Date,Currency,Settlement Number,Settlement Date,Status,Serial Number,Customer Name,Sales Office,Area,Region,Service Order,Job Control,Claim Class,Invoiced Parts,Invoiced Labor,Invoiced Travel,Invoiced Vehicle,Invoiced Misc,Invoiced Total,Expected Settle Parts,Expected Settle Labor,Expected Settle Travel,Expected Settle Vehicle,Expected Settle Misc,Claimed Parts,Claimed Labor,Claimed Travel,Claimed Vehicle,Claimed Misc,Claimed Total,Settled Total
0073094146,YW01,J218_32F Warranty Engine oil pan leak,5/1/2020,L8U0805,5/1/2020,USD,C86SC 156445,5/1/2020,Closed,KDP01043,PT. MADHANI TALATAH NUSANTARA,0G05,NORTHERN KALIMANTAN,SAMARINDA,8600198211,2W,G07,0.00,0.00,0.00,0.00,177.45,177.45,0.00,0.00,0.00,0.00,0.00,32.53,0.00,0.00,0.00,0.00,40.27,40.27
0073094147,YW01,J218_32F Warranty Trans Line leak oil,5/1/2020,L8U0808,5/1/2020,USD,C86SC 156755,5/4/2020,Closed,KDP01043,PT. MADHANI TALATAH NUSANTARA,0G05,NORTHERN KALIMANTAN,SAMARINDA,8600198222,2W,G07,0.00,0.00,0.00,0.00,88.73,88.73,0.00,0.00,0.00,0.00,0.00,136.99,0.00,0.00,0.00,0.00,169.59,169.59
0073094181,YW01,46 Replace Monitor,5/2/2020,L8U0884,5/2/2020,USD,C86SC 156527,5/4/2020,Closed,YBP00781,NERLINCE WAMUAR,0B46,EAST INDONESIA,SORONG,8600182989,2W,G07,"1,260.38",65.97,170.72,0.00,114.20,"1,611.27","1,260.38",0.00,0.00,0.00,0.00,"1,018.08",0.00,0.00,0.00,0.00,"1,260.38","1,260.38"
0073094182,YW01,FAL04699 WARRANTY REF SO 8500059248.,5/2/2020,L8U0886,5/2/2020,USD,C86SC 156854,5/5/2020,Closed,FAL04699,ERWIN,0B51,EAST INDONESIA,MAKASAR,8600186509,2W,G27,"1,631.76",197.91,256.08,0.00,18.62,"2,104.37","1,631.76",0.00,0.00,0.00,0.00,"1,318.08",0.00,0.00,0.00,0.00,"1,631.78","1,631.78"
0073094183,YW01,NC-LO Electric problem,5/2/2020,NC73094183,4/29/2020,USD,NC-LOHARSETOUDABATTI,5/2/2020,Closed,YBP00880,PT. ANUGERAH SAKTI KONSTRUKSI UTAMA,0B51,EAST INDONESIA,MAKASAR,8600193019,2W,G23,0.00,131.94,426.80,0.00,77.14,635.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0073094184,YW01,YBP00958 HOSE TRAVEL LEAKS.,5/2/2020,L8U0889,5/2/2020,USD,C86SC 156528,5/4/2020,Closed,YBP00958,PT. GETSHEMANI INDAH,0B51,EAST INDONESIA,MAKASAR,8600196018,2W,G07,267.02,87.96,256.08,0.00,133.77,744.83,267.02,0.00,0.00,0.00,0.00,215.69,0.00,0.00,0.00,0.00,267.02,267.02
0073094185,YW01,YBP00778 LOOSEN SIDE CUTTER R/H.,5/2/2020,L8U2419,5/7/2020,USD,C86SC 158000,5/7/2020,Closed,YBP00778,PT. LOGAM JAYA MULIA MANDIRI,0B51,EAST INDONESIA,MAKASAR,8600196850,2W,G07,491.33,109.95,256.08,0.00,86.19,943.55,491.33,0.00,0.00,0.00,0.00,396.87,0.00,0.00,0.00,0.00,491.33,491.33
0073094186,YW01,53 Replace Water Pump,5/2/2020,L8U0891,5/2/2020,USD,C86SC 156530,5/4/2020,Closed,TTT00507,PT. KALTIM HUTAMA,0B53,EAST INDONESIA,SORONG,8600196922,2W,G07,290.72,164.93,341.44,0.00,285.16,"1,082.25",290.72,0.00,0.00,0.00,0.00,234.83,0.00,0.00,0.00,0.00,290.72,290.72
0073094187,YW01,PS53867 Replacing The E-Fan On Certain 3,5/2/2020,L8U0892,5/2/2020,USD,C86SC 156531,5/4/2020,Pending,ZBT00183,CV. MENGGALA RAYA,0B51,EAST INDONESIA,MAKASAR,8600201134,2X,G11,263.76,11.00,256.08,0.00,126.65,657.49,263.76,11.00,0.00,0.00,0.00,213.06,12.18,0.00,0.00,0.00,297.25,297.25
0073094221,YW01,Rod Fracture pn.495-1190,5/4/2020,,,USD,,,Created,ZBT00449,PT. XI ARTHAMEDIA,0A25,JAVA,JAKARTA,8600195881,2W,G07,"2,679.77",573.50,170.72,0.00,296.32,"3,720.31","2,679.77",0.00,0.00,0.00,296.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00
